Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69be6f0a1f12ca98a58184b0,63174af7d57182f9bf90c094,RETURNED,Not Applicable,2026-03-21T10:12:25.998000Z,,,,,,5859,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6f0e05d6714b49d101da,663791040de5898120ca93cd,RETURNED,Not Applicable,2026-03-21T10:12:53.086000Z,,,,,,2111,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6f0e16bd47c4a8e0787b,6982586ea86a069797a7983b,RETURNED,Not Applicable,,,,,,,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6f49aa539637901ee7d2,69b594dccc64df571f092147,RETURNED,Not Applicable,2026-03-21T10:13:38.074000Z,2026-03-21T10:15:05.846000Z,,2026-03-21T10:15:06.541000Z,,C14M9CAH,57,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6f7419c4f7a7f7ba8234,68890c7b68f8af6fefc86f22,RETURNED,Not Applicable,2026-03-21T10:14:17.620000Z,,,,,,323,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be71d1092ccda16f169135,660cd7b61a24eeff3eac6e93,RETURNED,Not Applicable,2026-03-21T10:24:49.857000Z,2026-03-21T10:25:06.501000Z,,2026-03-21T10:25:07.069000Z,,C14M9CAH,4267,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be7b22232698c73381ffb8,5bb7abf3c190e20001e5c2c8,RETURNED,Not Applicable,2026-03-21T11:06:02.990000Z,,,,,,3036,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be7fd97be294c51ca3a129,695f9c933b79d5a5ea3a1d4e,RETURNED,Not Applicable,2026-03-21T11:24:13.276000Z,,,,,,463,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be80a64c68caad5cd5652a,5d1f9776676cd1001580ae9c,RETURNED,Not Applicable,2026-03-21T11:27:38.320000Z,,,,,,1050,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be8acab63e13fc67b52c35,6818aa3b091f461c436e4f12,RETURNED,Not Applicable,2026-03-21T12:10:54.027000Z,,,,,,1333,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be8f6aef3ea629fb2051d7,5ab8c3fb9534ba0001c6b60d,RETURNED,Not Applicable,2026-03-21T12:30:38.094000Z,,,,,,4637,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be91b35f7cd5a5d3a89d46,598f22af33481c000164d359,RETURNED,Not Applicable,2026-03-21T12:40:47.140000Z,,,,,,1275,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be948c72dda3c195bf020c,5ee11eb5636ea94d3ad43e3b,RETURNED,Not Applicable,2026-03-21T12:53:42.193000Z,,,,,,6610,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be955584230e4c26dadd70,63ed0065eb23ac3ee1726453,RETURNED,Not Applicable,,,,,,,6365,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be956781fcf9f73b81849c,6643ab5b0c0f7e724662e6a9,RETURNED,Not Applicable,2026-03-21T12:56:11.445000Z,,,,,,6648,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be967129446e89f5824072,6172430a2fbf1383e0493223,RETURNED,Not Applicable,2026-03-21T13:00:37.988000Z,,,,,,2051,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be972e0fe606c10200b4ae,6978e66b3f7d1c0c6efd8eb2,RETURNED,Not Applicable,2026-03-21T13:03:47.256000Z,2026-03-21T13:04:28.404000Z,,2026-03-21T13:04:28.975000Z,,C14M9CAH,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
